companyId,positionLables,industryLables,businessZones,positionId,positionName,createTime,positionAdvantage,salary,workYear,education,city,jobNature,industryField,companyShortName,companySize,financeStage,companyLabelList,district,companyFullName,firstType,secondType,isSchoolJob,subwayline,stationname,linestaion,longitude,latitude,content,topSalary,bottomSalary,avgSalary,crateTime
165125,"{统计,数据管理}",{},,4306754,数据分析专员,2018-04-10 11:06:41,"周末双休,五险一金,节日福利,员工旅游",6k-8k,不限,本科,北京,全职,教育,迈格森国际教育,150-500人,未融资,"{股票期权,绩效奖金,午餐补助,带薪年假}",朝阳区,北京市海淀区迈格森教育培训学校,开发/测试/运维类,数据开发,0,15号线,望京东,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,116.483231,39.997737,岗位职责：1、深入业务部门，了解业务逻辑，与业务部门同事配合完成数据提取和清洗；2、专题分析（诸如政策调整后，数据表现及追踪）；3、使用现有工具，统计计算汇总线下数据源，维护现有数据源，参与讨论并提取现有数据仓库以外的数据源；4、梳理并补充现有工作流程的SOP文档。任职要求：1、全日制本科及以上学历，计算机、统计、会计等相关专业优先；2、一年及以上相关工作经验优先；3、具有良好的沟通能力和逻辑思维能力，求知欲强；4、态度端正，可承担较强的工作压力;4、熟练使用Excel和PPT。,8,6,7.0,2018-04-10 11:06:41
43655,{},{},"{中关村,北京大学,苏州街}",1542495,高级产品经理（大数据分析方向）,2018-04-10 10:07:36,IoT云计算业界最优秀技术团队,25k-35k,3-5年,本科,北京,全职,硬件,AbleCloud,50-150人,B轮,"{节日礼物,技能培训,股票期权,年度旅游}",海淀区,北京智云奇点科技有限公司,产品,产品经理,0,10号线,苏州街,4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街,116.303537,39.985755,"岗位职责：1.负责AbleCloud大数据分析平台的整体规划、需求分析和产品设计2.国内外大数据分析平台竞品调研3.关注大数据应用方向的相关研究，洞察智能硬件多个行业内的大数据分析趋势和需求，将大数据与行业需求有效结合，并将相关成果快速产品化、商品化，实现大数据在不同行业中的应用价值4.负责与客户进行需求沟通，为客户输出数据分析解决方案和价值5.研究和设计大数据可视化产品，深度揭示数据规律岗位要求：1.本科以上学历，数学、数理统计或计算机相关专业毕业优先2.三年以上互联网产品经理工作经验，对数据敏感、有数据产品设计经验3.有数据建模、数据挖掘知识背景者优先4.具备优秀的沟通、理解、学习和执行能力，善于思考分析，具备良好的文档书写能力=====创始团队：我们期待与更多优秀的人一同前行=====CEO李海磊：前百度大数据平台架构师,微软Bing架构师，小米开放云平台负责人，在智能硬件云平台和大数据方面有丰富的经验。Co-founder孙志东:前百度基础架构部架构师,阿里巴巴核心系统部架构师，分布式系统设计和大数据存储领域技术专家。Co-founder孙文现:前百度高级产品运营经理，曾带领过超过50人的团队，具有丰富的商业产品研发，拓展和运营经验。Co-founder陈鹏：前百度架构师，2008年加入百度，在基础架构部从事分布式系统研发。主导百度分布式消息队列、百度IDC带宽调度管理系统、公有云计费/IAM系统、大数据分析平台等研发。在分布式系统、大数据分析及hadoop、hbase等开源系统方面经验丰富。Co-founder崔潇扬：此前任职于大唐移动，国内最早研究4G无线通信的成员之一，拥有5件发明专利。",35,25,30.0,2018-04-10 10:07:36
8602,"{大数据,r语言,EXCEL,SPSS,汽车数据分析}",{},"{龙江,热河南路,草场门}",3734711,数据分析经理,2018-04-10 11:04:07,"节日福利,年终奖金,团队活动,股票期权",10k-20k,3-5年,本科,南京,全职,"移动互联网,数据服务",车300,150-500人,C轮,"{年终分红,绩效奖金,股票期权,五险一金}",鼓楼区,南京车易淘网络信息技术有限公司,开发/测试/运维类,数据开发,0,4号线,南艺·二师·草场门,4号线_南艺·二师·草场门,118.75334,32.07195,岗位职责：1、与大客户进行深入的需求沟通，并对需求进行拆解、落地；2、与基础数据部进行相关数据需求沟通，并准确获得所需数据；3、主导撰写深度行业分析报告，包括宏观、微观、历史、当前以及未来的相关影响因素的收集、整理与量化；4、参与相关数据产品的研发，设计数据产品，并配合业务部门推动数据业务发展。任职要求：1、本科以上学历，3年以上工作经验，数学、统计学等相关专业优先；2、具有很强的数据分析能力及独立报告撰写能力；3、优秀的逻辑分析能力，较强的文字功底与陈述能力；4、熟练掌握office，有R、SPSS或其他统计分析工具和SQL经验优先；5、对汽车行业具有浓厚的兴趣，热爱市场研究工作，具备市场研究或咨询公司工作经验优先，具备汽车行业研究经验优先；,20,10,15.0,2018-04-10 11:04:07
155663,"{云计算,信息安全,移动互联网,业务运营}","{云计算,信息安全,移动互联网,业务运营}",{沙河},4228560,大数据分析与运营总监,2018-04-10 11:02:15,"平台大,价值实现,领导nic",30k-50k,5-10年,本科,广州,全职,其他,雪松控股集团有限公司,2000人以上,不需要融资,"{领导好,技能培训,绩效奖金}",天河区,雪松控股集团有限公司,产品/需求/项目类,数据分析,0,APM线,妇儿中心,3号线_广州塔;3号线_珠江新城;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_海心沙;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道,113.323274,23.117719,"职责描述：主要工作职责及内容1、根据公司战略和业务中长期发展需求，设计公司整体的数据化战略，建立数据治理和数据管理架构，来满足未来各类数据管理，数据运营和数据应用的成功建设。2、建立集团的数据治理，数据管理的制度和流程，并落实推广到全集团，并持续改进。3、建设和运营满足业务短中长期需要的大数据分析能力，建立各种相关内外部数据连接。4、建立定期的IT与业务集团，业务部门和集团个职能部门的沟通交流，及时发现潜在需求和潜在解决方案，不断提升IT项目交付的业务价值。5、建立数据需求管理流程和制度,高效管理业务的需求，合理划分优先级，合理调配团队资源进行需求的及时交付。前瞻性的管理业务需求，能够广泛了解市场最佳实践，通过主动式介绍分析优秀的解决方案，来引领业务的数据化需求。6、采用结构化的高效项目管理方法论来管理自己负责的项目和带领项目团队进行项目的高效执行。确保项目管理的相关制度和方法论在IT的项目管理工作中被良好地遵守和使用。7、高效地管理项目执行过程中的各项内容，包括计划的制定和管理、资源的设计和安排、成本的控制和质量的监控保障等内容。8、高效地领导项目团队，建立积极向上，不断追求卓越的团队文化，建立强有力的按时按质交付结果的以业绩为导向的团队文化，激励团队成员不断提升能力。任职要求：1、具有良好的团队领导力和影响力，能够正能量地影响他人。2、具有很强的沟通和合作能力，积极主动的工作态度和与业务深入了解合作的愿望。3、具有创新意识和持续改进的追求卓越的理念4、熟练应用企业数据治理，数据运营和数据应用的理论和方法论，包括BI，BigData,数据可视化，较深入了解ESB，MDM，SOA，微服务等国内外相关架构标准，能熟练地应用和创新行地在企业中设计和实施。5、丰富的业务调研、数据架构分析及应用，数据安全管理制度、流程建设经验；6、具备大型企业业务和基础建设项目规划、方案编写、项目独立实施经验；能够按计划保质保量端到端交付的能力。7、熟练企业通行的各种应用系统，包括ERP，CRM,MDM,SCM,CallCenter，HR等应用系统，对金融，文旅，地产，社区等行业的应用系统有较好的认识；8、了解云计算，大数据，移动互联网，物联网等互联网技术。9、熟悉windows、Unix(或Linux)等计算机操作系统。10、良好地文档组织能力，良好的书面与口头表达能力；11、能够在压力下工作并交付成果。",50,30,40.0,2018-04-10 11:02:15
110677,"{房产服务,助理,实习生,数据管理}","{房产服务,助理,实习生,数据管理}",,4347863,数据分析专员,2018-04-10 10:58:13,"五险一金,发展空间",8k-10k,1年以下,本科,北京,全职,企业服务,小麦科技,2000人以上,不需要融资,"{带薪年假,定期体检,交通补助,六险一金}",朝阳区,北京小麦科技有限公司,产品/需求/项目类,数据分析,0,15号线,望京东,14号线东段_望京;15号线_望京东;15号线_望京,116.486624,40.000825,岗位职责1、维护本模块的日常报表（日报、周报、月报）；2、完成日常需求的数据提取与展现3、参与项目，负责数据提取、基础处理、分析、综合展示工作；4、精进数据工具，定期升级，提升工作效率；5、（熟悉数据分析及业务原理）对数据的真实、有效性负责，为决策和管理提供有效的数据支持。任职要求：1、本科或以上学历，经济、统计、数学、房地产相关专业；2、沟通表达能力强，有一定的分析思维，细心严谨；3、熟练掌握excel，有sas、R或SQL语言基础；4、有一定的Word\PPT基础；5、理解与动手能力强，对新知识有着强烈的兴趣，热爱数据并希望在此领域有长足发展。6、【加分项】从事过市场研究、数据服务、咨询相关行业；熟悉数据挖掘技术、有实操经验；熟练的SAS、R技术接受应届生,10,8,9.0,2018-04-10 10:58:13
166065,"{海外,渠道,运营,英语}",{},"{员村,珠江新城}",3711097,数据分析师,2018-04-10 10:56:47,"五险一金,宽松氛围,弹性上班制,下午茶",5k-10k,不限,大专,广州,全职,"移动互联网,广告营销",栗子科技,15-50人,不需要融资,{},天河区,广州栗树信息科技有限公司,运营/编辑/客服,运营,0,8号线,新港东,5号线_潭村;5号线_员村;8号线_新港东,113.354828,23.111676,工作内容：1.负责项目数据持续监控和分析；2.定期输出数据分析报告，提出合理有效意见；3.根据运营工作发行的问题，提出有效合理的数据模型提升机器运营能力。岗位要求：1.细心负责2.良好的逻辑分析能力3.熟练使用excel等日常工具4.对业务数据保持敏感，较强的独立思考能力5.本岗位是面向海外产品，所以要求有较好的英语听说写能力福利：下午茶水果任吃+五险一金+定期体检+带薪假期+弹性上班时间+双休,10,5,7.5,2018-04-10 10:56:47
2900,"{资深,大数据,业务运营,SPSS,sas}",{},{西溪},3338520,业务数据分析专家,2018-04-10 10:51:57,"期权激励,六险一金,弹性工作,全员Mac",15k-30k,5-10年,本科,杭州,全职,"移动互联网 ,电子商务",微店,500-2000人,C轮,"{扁平化管理,技术驱动,14薪,六险一金}",西湖区,北京口袋时尚科技有限公司,产品/需求/项目类,数据分析,0,,,,120.074698,30.290471,【职位描述】1、对多种数据源进行深度诊断性组合分析、挖掘、深度分析和建模；2、通过专题分析，对业务问题进行深入分析，能对关键分析思路进行产品化；3、通过对线上线下业务进行研究和分析，形成成熟业务方案，并推动业务的数据化运营。【职位要求】1、本科及以上学历，数学、统计学、经济学、计算机等相关等专业；2、三年以上相关工作经历；3、有大数据并行处理经验，能使用Hadoop/Hive分析海量数据；能高效地与业务、技术团队进行沟通；有App及电商行业经验者优先；4、具备客户数据模型建立和落地经验、数据化运营经验、数据类产品类规划经验；5、能熟练独立编写商业数据分析报告。,30,15,22.5,2018-04-10 10:51:57
50702,"{SPSS,sas,业务分析}",{},,3351296,数据分析岗-业务发展部,2018-04-10 10:49:53,"大平台,发展好",8k-13k,1-3年,本科,北京,全职,"移动互联网,O2O",美团点评,2000人以上,D轮及以上,"{技能培训,绩效奖金,岗位晋升,领导好}",朝阳区,北京三快在线科技有限公司,市场/商务/销售类,销售,0,,,,0.0,0.0,岗位职责:1:通过业务数据分析协助定制业务发展策略。2:负责优化分析解读日、周、月报。3:解决业务团队以及团队内部的数据需求。4:搭建部门内部BI系统，实现数据自动展现分析。5:协助上级推进项目进程。岗位要求:1:精通sql，熟练掌握excel2:有一定的数据分析能力，有过数据分析报告经历。3:对工作认真负责，可以完成项目策略落地后的跟进分析优化。4:良好的沟通能力，理解合作共赢。5:本科及以上学历,13,8,10.5,2018-04-10 10:49:53
10359,{数据挖掘},{},{古墩路},4240404,数据分析师,2018-04-10 12:04:03,真正玩大数据分析、大数据挖掘,12k-20k,不限,本科,杭州,全职,移动互联网,酷家乐,500-2000人,D轮及以上,"{两次加薪,弹性工作,期权丰厚,两次晋升}",拱墅区,杭州群核信息技术有限公司,开发/测试/运维类,数据开发,0,,,,120.108647,30.293154,岗位描述：1、负责酷家乐业务数据分析，包括报表设计、数据建模等；针对产品和用户，有能力在海量数据中进行特征提取与分析；2、配合平台产品或业务线线对其用户数据进行深度分析与挖掘，提供数据支撑，并持续优化分析系统；能独立完成业务数据建模；并将结果转化为运营指标；3、完善数据报表体系，及时准确监控运营状况，并提供专业分析报告。关注产品线日常运营数据报表，从数据出发给业务部门提出相应的优化建议。岗位要求：1.熟悉并热衷于互联网产品，对业务有敏锐的观察力和数据洞见；2.精通Excel、SQL、hadoop海量数据处理，有构建海量数据数据仓库经验优先，擅长python有计算机相关专业背景者优先；3.对数字有敏锐的观察力，喜欢和数字打交道，严谨细致；较强的分析能力，逻辑推理能力；4.较强的书面及口头表达能力；具有较强的自主学习能力，乐于接受挑战；5.有责任心、具有团队合作精神，能承受一定的工作压力。,20,12,16.0,2018-04-10 12:04:03
253423,"{电商,广告营销,产品,网店}","{电商,广告营销,产品,网店}","{民治,民治,龙华,龙华,锦绣江南,锦绣江南}",3722795,数据分析运营（跨境电商）,2018-04-10 11:15:19,"思维条理性,逻辑性,有挑战,晋升空间大",5k-9k,1-3年,不限,深圳,全职,电子商务,Piokio,少于15人,天使轮,"{股票期权,带薪年假,地铁周边}",龙华区,深圳忆时电子商贸有限公司,运营/编辑/客服,运营,0,,,,114.038072,22.639641,个人职责：1、上传产品2、分析客户购买行为3、优化产品详情页4、优化广告小组职责：三人小组（产品开发+采购+运营）1、产品和包装设计，产品优化设计2、采购产品，质量和价格优化3、提高SKU毛利4、优化库存周转率5、制定销售目标并完成目标根据过往数据，由0销售开始，三个小组用8个月时间能做到小组月收入38000+，十二个月后大致小组月收入能超过46000晋升空间：小组运营>小组组长>单一品牌下新产品类目负责人>新品牌及团队负责人岗位需求：1、敢于尝试，不断总结2、沟通能力强，团队协作能力3、执行力，执行力，执行力！如果你是一想到事情就马上去做的性格，我们就是你梦寐以求施拳脚的舞台。,9,5,7.0,2018-04-10 11:15:19
